dt,feels_like,humidity,pressure,sunrise,sunset,temp,uvi,weather_id,wind_gust,wind_speed,rain_1h,snow_1h
"2025-04-02 15:46:20",11.02,70,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",11.94,1.28,800,0,7.72,0,0
"2025-04-02 15:47:21",11.02,70,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",11.94,1.28,800,0,7.72,0,0
"2025-04-02 15:47:32",11.02,70,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",11.94,1.28,800,0,7.72,0,0
"2025-04-02 15:48:32",11.22,68,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",12.17,1.28,800,0,7.72,0,0
"2025-04-02 15:49:33",11.22,68,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",12.17,1.28,800,0,7.72,0,0
"2025-04-02 15:50:34",11.09,70,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",12.01,1.28,800,0,7.72,0,0
"2025-04-02 16:52:12",11.04,68,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",12.01,0.57,800,0,7.2,0,0
"2025-04-02 17:52:13",10.53,69,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",11.52,0.17,801,0,6.71,0,0
"2025-04-02 18:52:13",9.65,74,1022,"2025-04-02 05:55:45","2025-04-02 19:01:04",10.6,0,800,0,5.14,0,0
"2025-04-02 19:52:13",7.22,77,1023,"2025-04-02 05:55:45","2025-04-02 19:01:04",9.89,0,800,0,5.66,0,0
"2025-04-02 20:52:13",6.87,79,1023,"2025-04-02 05:55:45","2025-04-02 19:01:04",9.62,0,800,0,5.66,0,0
"2025-04-02 21:52:14",8.85,77,1023,"2025-04-02 05:55:45","2025-04-02 19:01:04",9.87,0,800,5.36,2.24,0,0
"2025-04-02 22:52:14",8.24,75,1023,"2025-04-02 05:55:45","2025-04-02 19:01:04",9.61,0,800,4.92,2.68,0,0
"2025-04-02 23:52:14",8.83,77,1023,"2025-04-03 05:53:21","2025-04-03 19:02:52",9.12,0,800,4.02,1.34,0,0
"2025-04-03 00:52:14",8.52,79,1023,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.85,0,800,4.02,1.34,0,0
"2025-04-03 01:52:15",4.37,80,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.04,0,800,0,7.15,0,0
"2025-04-03 02:52:15",4.51,81,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.04,0,800,0,6.71,0,0
"2025-04-03 03:52:15",5.76,83,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",7.76,0,800,0,3.09,0,0
"2025-04-03 04:52:15",5.6,86,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",7.62,0,801,0,3.09,0,0
"2025-04-03 05:52:16",6.83,86,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.02,0,802,0,2.06,0,0
"2025-04-03 06:52:16",6.29,85,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.44,0.2,803,0,3.6,0,0
"2025-04-03 07:52:16",5.4,86,1022,"2025-04-03 05:53:21","2025-04-03 19:02:52",8.85,0.62,802,0,7.2,0,0
"2025-04-03 08:52:16",6.35,82,1021,"2025-04-03 05:53:21","2025-04-03 19:02:52",9.8,1.29,802,0,8.23,0,0
"2025-04-03 09:52:17",9.42,81,1021,"2025-04-03 05:53:21","2025-04-03 19:02:52",10.23,2.14,801,0,10.8,0,0
"2025-04-03 10:52:17",10.43,75,1021,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.29,2.86,802,0,10.29,0,0
"2025-04-03 11:52:17",10.25,76,1021,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.1,3.28,802,0,10.29,0,0
"2025-04-03 12:52:17",9.79,81,1021,"2025-04-03 05:53:21","2025-04-03 19:02:52",10.56,3.31,802,0,10.28,0,0
"2025-04-03 13:52:18",10.99,79,1020,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.7,2.74,802,12.35,6.69,0,0
"2025-04-03 14:52:18",12.25,74,1019,"2025-04-03 05:53:21","2025-04-03 19:02:52",12.97,1.95,801,0,6.69,0,0
"2025-04-03 15:52:18",12.4,72,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",13.15,1.15,801,0,9.26,0,0
"2025-04-03 16:52:18",13,70,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",13.74,0.52,800,0,9.77,0,0
"2025-04-03 17:52:19",11.85,73,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",12.63,0.14,800,0,8.75,0,0
"2025-04-03 18:52:19",11.13,74,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.95,0,800,0,7.72,0,0
"2025-04-03 19:52:19",10.27,77,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.09,0,800,0,5.66,0,0
"2025-04-03 20:52:19",10.3,78,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.1,0,802,0,7.2,0,0
"2025-04-03 21:52:20",10.71,79,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.45,0,500,0,8.23,0.68,0
"2025-04-03 22:52:20",10.6,81,1018,"2025-04-03 05:53:21","2025-04-03 19:02:52",11.3,0,500,0,8.23,0.45,0
"2025-04-03 23:52:20",10.25,84,1018,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.91,0,803,0,7.72,0,0
"2025-04-04 00:52:20",10.31,85,1018,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.94,0,803,0,5.66,0,0
"2025-04-04 01:52:20",10.19,86,1018,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.81,0,803,0,4.63,0,0
"2025-04-04 02:52:21",10.06,86,1019,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.69,0,803,0,6.17,0,0
"2025-04-04 03:52:21",10.16,87,1019,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.76,0,803,0,5.66,0,0
"2025-04-04 04:52:21",9.52,88,1019,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.15,0,803,0,6.17,0,0
"2025-04-04 05:52:21",9.41,88,1019,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.05,0,803,0,5.14,0,0
"2025-04-04 06:52:22",9.85,89,1019,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.43,0.17,803,0,4.63,0,0
"2025-04-04 07:52:22",10.84,83,1020,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.47,0.43,803,0,4.12,0,0
"2025-04-04 08:52:22",11.24,85,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.79,0.99,803,0,4.12,0,0
"2025-04-04 09:52:22",12.17,86,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",12.61,1.54,803,0,4.63,0,0
"2025-04-04 10:52:23",12.32,89,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",12.67,1.53,803,0,5.14,0,0
"2025-04-04 11:52:23",13.74,82,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",14.13,1.6,803,0,5.14,0,0
"2025-04-04 12:52:23",10.81,83,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.44,0.8,803,0,6.17,0,0
"2025-04-04 13:52:23",10.8,82,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.46,0.9,803,0,6.69,0,0
"2025-04-04 14:52:24",11.87,77,1020,"2025-04-04 05:50:57","2025-04-04 19:04:40",12.55,1.42,803,0,6.17,0,0
"2025-04-04 15:52:24",12,73,1020,"2025-04-04 05:50:57","2025-04-04 19:04:40",12.76,1.13,803,0,5.66,0,0
"2025-04-04 16:52:24",12.74,71,1020,"2025-04-04 05:50:57","2025-04-04 19:04:40",13.48,0.53,803,0,6.17,0,0
"2025-04-04 17:52:24",12.48,72,1020,"2025-04-04 05:50:57","2025-04-04 19:04:40",13.22,0.17,803,0,6.17,0,0
"2025-04-04 18:52:25",11.85,72,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",12.65,0,803,0,8.23,0,0
"2025-04-04 19:52:25",10.99,76,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.77,0,803,0,8.23,0,0
"2025-04-04 20:52:25",10.2,77,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",11.03,0,803,0,9.26,0,0
"2025-04-04 21:52:25",9.56,79,1021,"2025-04-04 05:50:57","2025-04-04 19:04:40",10.4,0,801,0,8.23,0,0
"2025-04-04 22:52:25",6.34,81,1022,"2025-04-04 05:50:57","2025-04-04 19:04:40",9.69,0,801,0,7.72,0,0
"2025-04-04 23:52:26",6.04,79,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",9.56,0,801,0,8.23,0,0
"2025-04-05 00:52:26",5.48,81,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.91,0,801,0,7.2,0,0
"2025-04-05 01:52:26",5.3,80,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.52,0,801,0,6.17,0,0
"2025-04-05 02:52:26",4.87,82,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.03,0,801,0,5.66,0,0
"2025-04-05 03:52:27",4.25,81,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",7.69,0,801,0,6.17,0,0
"2025-04-05 04:52:27",3.42,82,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",7.18,0,801,0,6.69,0,0
"2025-04-05 05:52:27",3.26,82,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",6.91,0,801,0,6.17,0,0
"2025-04-05 06:52:27",4.22,80,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",7.52,0.21,801,0,5.66,0,0
"2025-04-05 07:52:28",4.96,77,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.62,0.62,801,0,7.72,0,0
"2025-04-05 08:52:28",5.31,79,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.89,1.28,802,0,7.72,0,0
"2025-04-05 09:52:28",5.31,80,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",8.89,2.11,803,0,7.72,0,0
"2025-04-05 10:52:28",6.23,76,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",9.8,2.9,803,0,8.75,0,0
"2025-04-05 11:52:29",9.35,78,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",10.23,3.4,803,0,8.23,0,0
"2025-04-05 12:52:29",9.76,77,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",10.63,3.38,801,0,8.05,0,0
"2025-04-05 13:52:29",10.38,75,1022,"2025-04-05 05:48:33","2025-04-05 19:06:28",11.24,2.86,801,0,8.23,0,0
"2025-04-05 14:52:29",10.69,70,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",11.64,2.08,801,0,9.26,0,0
"2025-04-05 15:52:30",11.41,68,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",12.34,1.25,801,0,9.26,0,0
"2025-04-05 16:52:30",10.97,72,1021,"2025-04-05 05:48:33","2025-04-05 19:06:28",11.85,0.59,801,0,7.72,0,0
